SP;TRAT;H;SLA;LT;LDMC;N;P
SF;C;4.2;51.82884972;0.33;0.5;9.37;0.51
SF;C;1.3;67.81919482;0.257;0.492;12.03;0.58
SF;C;1.5;72.13314711;0.251;0.475;11.75;0.6
SF;C;1.3;63.44374813;0.257;0.526;11.33;0.55
SF;NP;3.4;65.35904437;0.226;0.537;11.33;0.71
SF;NP;1.7;72.70726916;0.218;0.504;11.33;0.65
SF;NP;2.15;64.98303078;0.247;0.519;9.23;0.67
SF;NP;2.1;60.21167014;0.302;0.496;10.49;0.93
SF;NP;2.5;66.3797768;0.27;0.531;11.19;0.56
SF;NP;4.4;53.64804178;0.328;0.506;12.87;0.61
SF;NP;1.8;74.17806268;0.305;0.449;11.47;0.91
SF;NP;1.85;63.73383318;0.289;0.505;10.35;0.66
SF;NP;4;56.99263158;0.32;0.526;10.35;0.64
SF;NP;2.9;61.18177228;0.287;0.483;11.89;0.7
SF;P;1.9;65.51421569;0.268;0.498;11.75;0.58
SF;P;2.6;51.89476015;0.326;0.488;11.05;0.85
SF;P;3.1;57.46230954;0.261;0.53;10.21;0.67
SF;P;1.95;53.33284707;0.327;0.485;11.19;0.7
SF;P;1.7;56.43680066;0.272;0.548;10.49;0.71
SF;P;1.8;64.15370484;0.265;0.506;10.35;0.57
SF;P;2.1;52.47668568;0.309;0.497;11.75;0.71
SF;P;2.8;66.62227507;0.256;0.467;9.37;0.65
SF;P;2.5;72.61430734;0.221;0.496;9.65;0.83
SF;P;1.6;53.58066378;0.331;0.496;11.33;0.64
SF;N;3.4;50.66449086;0.347;0.568;11.19;0.53
SF;N;1.7;65.5031348;0.3;0.547;11.33;0.61
SF;N;1.65;51.63572149;0.338;0.532;12.45;0.52
SF;N;3.2;50.34690004;0.377;0.557;10.07;0.47
SF;N;3.14;55.86513738;0.3;0.498;9.23;0.45
SF;N;3;58.75265306;0.297;0.516;8.81;0.58
SF;N;3.2;68.95994173;0.263;0.522;10.63;0.53
SF;N;2.5;57.06493506;0.29;0.508;9.65;0.48
SF;N;2.1;65.7322424;0.258;0.511;12.73;0.61
SF;N;2.4;53.85815951;0.315;0.529;11.33;0.48
SF;Ca;1.65;59.31470702;0.275;0.506;8.53;0.42
SF;Ca;2.2;67.01264801;0.216;0.529;9.79;0.49
SF;Ca;1.7;65.56666667;0.275;0.465;10.49;0.57
SF;Ca;3;63.56023166;0.281;0.479;10.77;0.54
